video_id,event_id,method,coverage_status,notes
2,ev0000_2_anomaly,isolation_forest,OK,
2,ev0000_2_anomaly,ocsvm,OK,
2,ev0000_2_anomaly,rule_based,OK,
9,ev0001_9_anomaly,isolation_forest,OK,
9,ev0001_9_anomaly,ocsvm,OK,
9,ev0001_9_anomaly,rule_based,OK,
11,ev0002_11_anomaly,isolation_forest,OK,
11,ev0002_11_anomaly,ocsvm,OK,
11,ev0002_11_anomaly,rule_based,OK,
14,ev0003_14_anomaly,isolation_forest,OK,
14,ev0003_14_anomaly,ocsvm,OK,
14,ev0003_14_anomaly,rule_based,OK,
33,ev0004_33_anomaly,isolation_forest,OK,
33,ev0004_33_anomaly,ocsvm,OK,
33,ev0004_33_anomaly,rule_based,OK,
33,ev0005_33_anomaly,isolation_forest,OK,
33,ev0005_33_anomaly,ocsvm,OK,
33,ev0005_33_anomaly,rule_based,OK,
35,ev0006_35_anomaly,isolation_forest,OK,
35,ev0006_35_anomaly,ocsvm,OK,
35,ev0006_35_anomaly,rule_based,OK,
49,ev0007_49_anomaly,isolation_forest,OK,
49,ev0007_49_anomaly,ocsvm,OK,
49,ev0007_49_anomaly,rule_based,OK,
51,ev0008_51_anomaly,isolation_forest,OK,
51,ev0008_51_anomaly,ocsvm,OK,
51,ev0008_51_anomaly,rule_based,OK,
63,ev0009_63_anomaly,isolation_forest,OK,
63,ev0009_63_anomaly,ocsvm,OK,
63,ev0009_63_anomaly,rule_based,OK,
