clip_filename,method,n_windows,n_flagged,far_value,pct_clipped,detection_source,status
1.mp4,isolation_forest,26766,4272,0.15960546962564448,0.028,cache,OK
1.mp4,ocsvm,26766,37,0.001382350743480535,0.028,cache,OK
1.mp4,rule_based,26766,1192,0.04453411043861615,0.028,cache,OK
11.mp4,isolation_forest,26645,224,0.00840683054982173,0.0,cache,OK
11.mp4,ocsvm,26645,0,0.0,0.0,cache,OK
11.mp4,rule_based,26645,831,0.03118784012009758,0.0,cache,OK
14.mp4,isolation_forest,26291,254,0.009661100756913012,0.0247,cache,OK
14.mp4,ocsvm,26291,16,0.0006085732760260166,0.0247,cache,OK
14.mp4,rule_based,26291,449,0.017078087558480087,0.0247,cache,OK
2.mp4,isolation_forest,26773,25608,0.9564860120270422,0.0149,on_the_fly,OK
2.mp4,ocsvm,26773,188,0.007021999775893624,0.0149,on_the_fly,OK
2.mp4,rule_based,26773,777,0.0290217756695178,0.0149,on_the_fly,OK
33.mp4,isolation_forest,26807,1276,0.04759950759130078,0.0,on_the_fly,OK
33.mp4,ocsvm,26807,4,0.00014921475733950087,0.0,on_the_fly,OK
33.mp4,rule_based,26807,1091,0.04069832506434887,0.0,on_the_fly,OK
35.mp4,isolation_forest,26633,1085,0.04073893290278977,0.0,on_the_fly,OK
35.mp4,ocsvm,26633,0,0.0,0.0,on_the_fly,OK
35.mp4,rule_based,26633,778,0.029211879998498103,0.0,on_the_fly,OK
49.mp4,isolation_forest,18914,12452,0.6583483134186316,1.7844,on_the_fly,OK
49.mp4,ocsvm,18914,2857,0.15105213069683832,1.7844,on_the_fly,OK
49.mp4,rule_based,18914,765,0.04044623030559374,1.7844,on_the_fly,OK
51.mp4,isolation_forest,24642,12868,0.5221978735492249,1.2073,on_the_fly,OK
51.mp4,ocsvm,24642,938,0.038065092119146174,1.2073,on_the_fly,OK
51.mp4,rule_based,24642,857,0.03477802126450775,1.2073,on_the_fly,OK
63.mp4,isolation_forest,2063,1403,0.6800775569558895,4.096,on_the_fly,OK
63.mp4,ocsvm,2063,174,0.08434318952981096,4.096,on_the_fly,OK
63.mp4,rule_based,2063,95,0.046049442559379546,4.096,on_the_fly,OK
9.mp4,isolation_forest,26592,7209,0.27109657039711194,0.0038,on_the_fly,OK
9.mp4,ocsvm,26592,3,0.0001128158844765343,0.0038,on_the_fly,OK
9.mp4,rule_based,26592,997,0.0374924789410349,0.0038,on_the_fly,OK
